index,value
534,5
535,5
536,6
537,2
538,1
539,1
540,5
541,6
542,2
543,1
544,1
545,1
546,1
547,3
548,4
549,2
550,1
551,1
552,3
553,4
554,2
555,5
556,6
557,2
558,6
559,6
560,5
561,6
562,2
563,6
564,6
565,1
566,5
567,4
568,2
569,4
570,1
571,5
572,4
573,2
574,4
575,2
576,5
577,6
578,1
579,2
580,2
581,5
582,6
583,1
584,2
585,4
586,4
587,1
588,5
589,1
590,4
591,4
592,1
593,5
594,1
595,1
596,6
597,3
598,3
599,6
600,1
601,6
602,3
603,3
604,6
605,1
606,2
607,4
608,1
609,4
610,1
611,2
612,4
613,1
614,4
615,3
616,5
617,6
618,1
619,1
620,3
621,5
622,6
623,1
624,1
625,4
626,4
627,2
628,5
629,2
630,4
631,4
632,2
633,5
634,2
635,6
636,5
637,5
638,4
639,1
640,6
641,5
642,5
643,4
644,1
645,1
646,2
647,3
648,4
649,4
650,1
651,2
652,3
653,4
654,4
655,6
656,3
657,1
658,2
659,1
660,6
661,3
662,1
663,2
664,1
665,3
666,2
667,6
668,1
669,4
670,3
671,2
672,6
673,1
674,4
675,1
676,3
677,5
678,1
679,2
680,1
681,3
682,5
683,1
684,2
685,4
686,1
687,5
688,2
689,5
690,4
691,1
692,5
693,2
694,5
695,6
696,3
697,2
698,6
699,2
700,6
701,3
702,2
703,6
704,2
705,1
706,6
707,2
708,1
709,3
710,1
711,6
712,2
713,1
714,3
715,4
716,5
717,1
718,1
719,4
720,4
721,5
722,1
723,1
724,4
725,5
726,1
727,5
728,1
729,5
730,5
731,1
732,5
733,1
734,5
735,2
736,6
737,1
738,3
739,3
740,2
741,6
742,1
743,3
744,3
745,2
746,3
747,1
748,5
749,4
750,2
751,3
752,1
753,5
754,4
755,1
756,6
757,1
758,6
759,4
760,1
761,6
762,1
763,6
764,4
765,4
766,5
767,1
768,4
769,3
770,4
771,5
772,1
773,4
774,3
775,1
776,1
777,5
778,3
779,1
780,1
781,1
782,5
783,3
784,1
785,4
786,4
787,1
788,6
789,4
790,4
791,4
792,1
793,6
794,4
795,5
796,6
797,2
798,3
799,1
800,5
801,6
802,2
803,3
804,1
805,3
806,4
807,2
808,3
809,2
810,3
811,4
812,2
813,3
814,2
815,4
816,2
817,3
818,6
819,2
820,4
821,2
822,3
823,6
824,2
825,5
826,1
827,4
828,6
829,6
830,5
831,1
832,4
833,6
834,6
835,2
836,3
837,5
838,1
839,6
840,2
841,3
842,5
843,1
844,6
845,2
846,4
847,1
848,3
849,2
850,2
851,4
852,1
853,3
854,2
855,4
856,3
857,1
858,2
859,1
860,4
861,3
862,1
863,2
864,1
865,3
866,6
867,1
868,4
869,5
870,3
871,6
872,1
873,4
874,5
875,3
876,1
877,5
878,6
879,6
880,3
881,1
882,5
883,6
884,6
885,6
886,6
887,5
888,1
889,5
890,6
891,6
892,5
893,1
894,5
895,2
896,1
897,5
898,6
899,3
900,2
901,1
902,5
903,6
904,3
905,3
906,3
907,5
908,3
909,1
910,3
911,3
912,5
913,3
914,1
915,6
916,1
917,4
918,2
919,2
920,6
921,1
922,4
923,2
924,2
925,4
926,5
927,2
928,3
929,1
930,4
931,5
932,2
933,3
934,1
935,1
936,2
937,1
938,3
939,1
940,1
941,2
942,1
943,3
944,1
945,5
946,4
947,3
948,4
949,2
950,5
951,4
952,3
953,4
954,2
955,3
956,1
957,1
958,1
959,5
960,3
961,1
962,1
963,1
964,5
965,3
966,3
967,1
968,3
969,1
970,3
971,3
972,1
973,3
974,1
975,6
976,5
977,4
978,3
979,3
980,6
981,5
982,4
983,3
984,3
985,6
986,3
987,1
988,6
989,6
990,6
991,3
992,1
993,6
994,6
995,5
996,4
997,4
998,1
999,5
1000,5
1001,4
1002,4
1003,1
1004,5
1005,6
1006,4
1007,6
1008,6
1009,6
1010,6
1011,4
1012,6
1013,6
1014,6
1015,1
1016,2
1017,4
1018,1
1019,6
1020,1
1021,2
1022,4
1023,1
1024,6
1025,3
1026,4
1027,1
1028,6
1029,4
1030,3
1031,4
1032,1
1033,6
1034,4
1035,2
1036,6
1037,3
1038,2
1039,5
1040,2
1041,6
1042,3
1043,2
1044,5
1045,6
1046,6
1047,3
1048,4
1049,2
1050,6
1051,6
1052,3
1053,4
1054,2
1055,4
1056,6
1057,2
1058,1
1059,2
1060,4
1061,6
1062,2
1063,1
1064,2
1065,1
1066,1
1067,4
1068,4
1069,2
1070,1
1071,1
1072,4
1073,4
1074,2
1075,4
1076,6
1077,4
1078,1
1079,6
1080,4
1081,6
1082,4
1083,1
1084,6
1085,5
1086,5
1087,1
1088,2
1089,3
1090,5
1091,5
1092,1
1093,2
1094,3
1095,2
1096,5
1097,1
1098,4
1099,3
1100,2
1101,5
1102,1
1103,4
1104,3
1105,1
1106,5
1107,4
1108,3
1109,2
1110,1
1111,5
1112,4
1113,3
1114,2
1115,5
1116,2
1117,3
1118,4
1119,1
1120,5
1121,2
1122,3
1123,4
1124,1
1125,6
1126,4
1127,1
1128,6
1129,2
1130,6
1131,4
1132,1
1133,6
1134,2
1135,3
1136,2
1137,2
1138,6
1139,6
1140,3
1141,2
1142,2
1143,6
1144,6
1145,2
1146,3
1147,2
1148,3
1149,4
1150,2
1151,3
1152,2
1153,3
1154,4
1155,2
1156,1
1157,3
1158,1
1159,1
1160,2
1161,1
1162,3
1163,1
1164,1
1165,5
1166,1
1167,6
1168,3
1169,2
1170,5
1171,1
1172,6
1173,3
1174,2
1175,3
1176,5
1177,1
1178,1
1179,3
1180,3
1181,5
1182,1
1183,1
1184,3
1185,4
1186,5
1187,4
1188,1
1189,3
1190,4
1191,5
1192,4
1193,1
1194,3
1195,1
1196,1
1197,5
1198,3
1199,1
1200,1
1201,1
1202,5
1203,3
1204,1
1205,2
1206,4
1207,4
1208,1
1209,2
1210,2
1211,4
1212,4
1213,1
1214,2
1215,6
1216,4
1217,6
1218,5
1219,5
1220,6
1221,4
1222,6
1223,5
1224,5
1225,3
1226,1
1227,4
1228,4
1229,6
1230,3
1231,1
1232,4
1233,4
1234,6
1235,4
1236,3
1237,1
1238,4
1239,4
1240,4
1241,3
1242,1
1243,4
1244,4
1245,3
1246,5
1247,1
1248,6
1249,1
1250,3
1251,5
1252,1
1253,6
1254,1
1255,1
1256,3
1257,3
1258,3
1259,2
1260,1
1261,3
1262,3
1263,3
1264,2
1265,3
1266,3
1267,1
1268,3
1269,6
1270,3
1271,3
1272,1
1273,3
1274,6
1275,5
1276,4
1277,3
1278,6
1279,4
1280,5
1281,4
1282,3
1283,6
1284,4
1285,3
1286,3
1287,3
1288,1
1289,2
1290,3
1291,3
1292,3
1293,1
1294,2
1295,6
1296,3
1297,3
1298,2
1299,5
1300,6
1301,3
1302,3
1303,2
1304,5
1305,5
1306,3
1307,1
1308,2
1309,6
1310,5
1311,3
1312,1
1313,2
1314,6
1315,3
1316,1
1317,1
1318,5
1319,5
1320,3
1321,1
1322,1
1323,5
1324,5
1325,2
1326,4
1327,3
1328,3
1329,2
1330,2
1331,4
1332,3
1333,3
1334,2
1335,1
1336,6
1337,4
1338,4
1339,1
1340,1
1341,6
1342,4
1343,4
1344,1
1345,5
1346,5
1347,3
1348,4
1349,5
1350,5
1351,5
1352,3
1353,4
1354,5
1355,4
1356,5
1357,5
1358,2
1359,2
1360,4
1361,5
1362,5
1363,2
1364,2
1365,5
1366,6
1367,2
1368,5
1369,2
1370,5
1371,6
1372,2
1373,5
1374,2
1375,6
1376,4
1377,6
1378,1
1379,3
1380,6
1381,4
1382,6
1383,1
1384,3
1385,2
1386,5
1387,3
1388,2
1389,5
1390,2
1391,5
1392,3
1393,2
1394,5
1395,2
1396,6
1397,2
1398,4
1399,6
1400,2
1401,6
1402,2
1403,4
1404,6
1405,5
1406,6
1407,3
1408,2
1409,2
1410,5
1411,6
1412,3
1413,2
1414,2
1415,5
1416,4
1417,3
1418,1
1419,1
1420,5
1421,4
1422,3
1423,1
1424,1
1425,5
1426,4
1427,2
1428,2
1429,3
1430,5
1431,4
1432,2
1433,2
1434,3
1435,1
1436,4
1437,1
1438,4
1439,5
1440,1
1441,4
1442,1
1443,4
1444,5
1445,4
1446,6
1447,4
1448,4
1449,1
1450,4
1451,6
1452,4
1453,4
1454,1
1455,1
1456,4
1457,2
1458,1
1459,4
1460,1
1461,4
1462,2
1463,1
1464,4
1465,2
1466,4
1467,6
1468,6
1469,4
1470,2
1471,4
1472,6
1473,6
1474,4
1475,1
1476,5
1477,6
1478,6
1479,3
1480,1
1481,5
1482,6
1483,6
1484,3
1485,3
1486,3
1487,6
1488,5
1489,1
1490,3
1491,3
1492,6
1493,5
1494,1
1495,2
1496,4
1497,3
1498,2
1499,4
1500,2
1501,4
1502,3
1503,2
1504,4
1505,4
1506,5
1507,4
1508,6
1509,1
1510,4
1511,5
1512,4
1513,6
1514,1
1515,2
1516,1
1517,2
1518,1
1519,6
1520,2
1521,1
1522,2
1523,1
1524,6
1525,2
1526,3
1527,4
1528,4
1529,3
1530,2
1531,3
1532,4
1533,4
1534,3
1535,1
1536,2
1537,4
1538,3
1539,3
1540,1
1541,2
1542,4
1543,3
1544,3
1545,3
1546,4
1547,5
1548,2
1549,4
1550,3
1551,4
1552,5
1553,2
1554,4
1555,4
1556,6
1557,5
1558,1
1559,1
1560,4
1561,6
1562,5
1563,1
1564,1
1565,3
1566,2
1567,1
1568,5
1569,1
1570,3
1571,2
1572,1
1573,5
1574,1
1575,3
1576,4
1577,2
1578,6
1579,4
1580,3
1581,4
1582,2
1583,6
1584,4
1585,1
1586,2
1587,6
1588,3
1589,1
1590,1
1591,2
1592,6
1593,3
1594,1
1595,2
1596,5
1597,3
1598,1
1599,1
1600,2
1601,5
1602,3
1603,1
1604,1
1605,1
1606,3
1607,2
1608,5
1609,1
1610,1
1611,3
1612,2
1613,5
1614,1
1615,2
1616,3
1617,2
1618,2
1619,4
1620,2
1621,3
1622,2
1623,2
1624,4
1625,6
1626,2
1627,4
1628,2
1629,6
1630,6
1631,2
1632,4
1633,2
1634,6
1635,1
1636,6
1637,2
1638,1
1639,1
1640,1
1641,6
1642,2
1643,1
1644,1
1645,1
1646,4
1647,5
1648,5
1649,4
1650,1
1651,4
1652,5
1653,5
1654,4
1655,4
1656,4
1657,6
1658,1
1659,1
1660,4
1661,4
1662,6
1663,1
1664,1
1665,2
1666,4
1667,3
1668,3
1669,1
1670,2
1671,4
1672,3
1673,3
1674,1
1675,1
1676,3
1677,1
1678,5
1679,3
1680,1
1681,3
1682,1
1683,5
1684,3
1685,2
1686,5
1687,2
1688,3
1689,4
1690,2
1691,5
1692,2
1693,3
1694,4
1695,4
1696,5
1697,5
1698,1
1699,6
1700,4
1701,5
1702,5
1703,1
1704,6
1705,1
1706,5
1707,1
1708,2
1709,4
1710,1
1711,5
1712,1
1713,2
1714,4
1715,2
1716,2
1717,1
1718,5
1719,6
1720,2
1721,2
1722,1
1723,5
1724,6
1725,3
1726,1
1727,4
1728,2
1729,4
1730,3
1731,1
1732,4
1733,2
1734,4
1735,5
1736,2
1737,1
1738,1
1739,1
1740,5
1741,2
1742,1
1743,1
1744,1
1745,3
1746,1
1747,4
1748,6
1749,4
1750,3
1751,1
1752,4
1753,6
1754,4
1755,4
1756,5
1757,3
1758,3
1759,3
1760,4
1761,5
1762,3
1763,3
1764,3
1765,3
1766,3
1767,2
1768,1
1769,5
1770,3
1771,3
1772,2
1773,1
1774,5
1775,1
1776,6
1777,5
1778,5
1779,2
1780,1
1781,6
1782,5
1783,5
1784,2
1785,1
1786,1
1787,5
1788,5
1789,1
1790,1
1791,1
1792,5
1793,5
1794,1
1795,4
1796,5
1797,4
1798,5
1799,6
1800,4
1801,5
1802,4
1803,5
1804,6
1805,2
1806,6
1807,1
1808,5
1809,1
1810,2
1811,6
1812,1
1813,5
1814,1
1815,6
1816,1
1817,1
1818,5
1819,1
1820,6
1821,1
1822,1
1823,5
1824,1
1825,1
1826,1
1827,6
1828,5
1829,5
1830,1
1831,1
1832,6
1833,5
1834,5
1835,5
1836,1
1837,4
1838,5
1839,6
1840,5
1841,1
1842,4
1843,5
1844,6
1845,6
1846,5
1847,6
1848,4
1849,2
1850,6
1851,5
1852,6
1853,4
1854,2
1855,5
1856,4
1857,5
1858,6
1859,5
1860,5
1861,4
1862,5
1863,6
1864,5
1865,2
1866,5
1867,6
1868,4
1869,4
1870,2
1871,5
1872,6
1873,4
1874,4
1875,1
1876,3
1877,6
1878,1
1879,5
1880,1
1881,3
1882,6
1883,1
1884,5
1885,2
1886,4
1887,1
1888,3
1889,4
1890,2
1891,4
1892,1
1893,3
1894,4
1895,6
1896,4
1897,6
1898,6
1899,2
1900,6
1901,4
1902,6
1903,6
1904,2
1905,3
1906,3
1907,5
1908,2
1909,6
1910,3
1911,3
1912,5
1913,2
1914,6
1915,5
1916,2
1917,2
1918,1
1919,3
1920,5
1921,2
1922,2
1923,1
1924,3
1925,3
1926,2
1927,6
1928,5
1929,1
1930,3
1931,2
1932,6
1933,5
1934,1
1935,2
1936,2
1937,5
1938,4
1939,2
1940,2
1941,2
1942,5
1943,4
1944,2
1945,2
1946,1
1947,5
1948,4
1949,2
1950,2
1951,1
1952,5
1953,4
1954,2
1955,2
1956,5
1957,6
1958,1
1959,2
1960,2
1961,5
1962,6
1963,1
1964,2
1965,4
1966,6
1967,3
1968,5
1969,5
1970,4
1971,6
1972,3
1973,5
1974,5
1975,2
1976,3
1977,3
1978,2
1979,1
1980,2
1981,3
1982,3
1983,2
1984,1
1985,1
1986,1
1987,2
1988,5
1989,1
1990,1
1991,1
1992,2
1993,5
1994,1
1995,2
1996,1
1997,6
1998,6
1999,6
2000,2
2001,1
2002,6
2003,6
2004,6
2005,5
2006,5
2007,4
2008,3
2009,5
2010,5
2011,5
2012,4
2013,3
2014,5
2015,6
2016,4
2017,5
2018,2
2019,2
2020,6
2021,4
2022,5
2023,2
2024,2
2025,6
2026,2
2027,5
2028,6
2029,5
2030,6
2031,2
2032,5
2033,6
2034,5
2035,2
2036,1
2037,1
2038,1
2039,5
2040,2
2041,1
2042,1
2043,1
2044,5
2045,5
2046,2
2047,5
2048,2
2049,5
2050,5
2051,2
2052,5
2053,2
2054,5
2055,4
2056,2
2057,3
2058,6
2059,5
2060,4
2061,2
2062,3
2063,6
2064,5
2065,3
2066,4
2067,3
2068,5
2069,4
2070,3
2071,4
2072,3
2073,5
2074,4
2075,3
2076,5
2077,4
2078,1
2079,2
2080,3
2081,5
2082,4
2083,1
2084,2
2085,5
2086,3
2087,5
2088,3
2089,4
2090,5
2091,3
2092,5
2093,3
2094,4
2095,4
2096,5
2097,6
2098,4
2099,3
2100,4
2101,5
2102,6
2103,4
2104,3
2105,1
2106,5
2107,3
2108,4
2109,6
2110,1
2111,5
2112,3
2113,4
2114,6
2115,1
2116,2
2117,3
2118,2
2119,1
2120,1
2121,2
2122,3
2123,2
2124,1
2125,2
2126,3
2127,2
2128,5
2129,2
2130,2
2131,3
2132,2
2133,5
2134,2
2135,2
2136,6
2137,6
2138,6
2139,3
2140,2
2141,6
2142,6
2143,6
2144,3
2145,3
2146,1
2147,1
2148,1
2149,3
2150,3
2151,1
2152,1
2153,1
2154,3
2155,1
2156,4
2157,3
2158,5
2159,5
2160,1
2161,4
2162,3
2163,5
2164,5
2165,5
2166,6
2167,1
2168,4
2169,1
2170,5
2171,6
2172,1
2173,4
2174,1
2175,2
2176,2
2177,1
2178,3
2179,4
2180,2
2181,2
2182,1
2183,3
2184,4
2185,2
2186,6
2187,1
2188,1
2189,2
2190,2
2191,6
2192,1
2193,1
2194,2
2195,5
2196,4
2197,6
2198,5
2199,6
2200,5
2201,4
2202,6
2203,5
2204,6
2205,2
2206,4
2207,4
2208,1
2209,6
2210,2
2211,4
2212,4
2213,1
2214,6
2215,1
2216,2
2217,1
2218,5
2219,4
2220,1
2221,2
2222,1
2223,5
2224,4
2225,6
2226,4
2227,2
2228,2
2229,5
2230,6
2231,4
2232,2
2233,2
2234,5
2235,4
2236,4
2237,4
2238,2
2239,2
2240,4
2241,4
2242,4
2243,2
2244,2
2245,4
2246,5
2247,4
2248,1
2249,4
2250,4
2251,5
2252,4
2253,1
2254,4
2255,4
2256,5
2257,3
2258,4
2259,1
2260,4
2261,5
2262,3
2263,4
2264,1
2265,3
2266,4
2267,2
2268,4
2269,2
2270,3
2271,4
2272,2
2273,4
2274,2
2275,4
2276,1
2277,5
2278,6
2279,3
2280,4
2281,1
2282,5
2283,6
2284,3
2285,2
2286,3
2287,2
2288,1
2289,2
2290,2
2291,3
2292,2
2293,1
2294,2
2295,3
2296,5
2297,6
2298,6
2299,3
2300,3
2301,5
2302,6
2303,6
2304,3
2305,1
2306,4
2307,4
2308,5
2309,1
2310,1
2311,4
2312,4
2313,5
2314,1
2315,1
2316,5
2317,4
2318,3
2319,5
2320,1
2321,5
2322,4
2323,3
2324,5
2325,4
2326,4
2327,3
2328,1
2329,4
2330,4
2331,4
2332,3
2333,1
2334,4
2335,3
2336,6
2337,5
2338,5
2339,6
2340,3
2341,6
2342,5
2343,5
2344,6
2345,2
2346,6
2347,4
2348,5
2349,4
2350,2
2351,6
2352,4
2353,5
2354,4
2355,2
2356,1
2357,1
2358,2
2359,2
2360,2
2361,1
2362,1
2363,2
2364,2
2365,4
2366,3
2367,1
2368,5
2369,2
2370,4
2371,3
2372,1
2373,5
2374,2
2375,6
2376,2
2377,2
2378,5
2379,6
2380,6
2381,2
2382,2
2383,5
2384,6
2385,3
2386,1
2387,4
2388,3
2389,6
2390,3
2391,1
2392,4
2393,3
2394,6
2395,1
2396,1
2397,3
2398,4
2399,5
2400,1
2401,1
2402,3
2403,4
2404,5
2405,6
2406,4
2407,5
2408,4
2409,5
2410,6
2411,4
2412,5
2413,4
2414,5
2415,2
2416,5
2417,3
2418,4
2419,1
2420,2
2421,5
2422,3
2423,4
2424,1
2425,1
2426,6
2427,5
2428,6
2429,1
2430,1
2431,6
2432,5
2433,6
2434,1
2435,6
2436,5
2437,3
2438,1
2439,1
2440,6
2441,5
2442,3
2443,1
2444,1
2445,1
2446,3
2447,1
2448,4
2449,2
2450,1
2451,3
2452,1
2453,4
2454,2
2455,1
2456,6
2457,1
2458,6
2459,4
2460,1
2461,6
2462,1
2463,6
2464,4
2465,4
2466,5
2467,3
2468,3
2469,2
2470,4
2471,5
2472,3
2473,3
2474,2
2475,5
2476,2
2477,1
2478,4
2479,5
2480,5
2481,2
2482,1
2483,4
2484,5
2485,6
2486,2
2487,6
2488,3
2489,4
2490,6
2491,2
2492,6
2493,3
2494,4
2495,2
2496,1
2497,6
2498,5
2499,4
2500,2
2501,1
2502,6
2503,5
2504,4
2505,1
2506,2
2507,5
2508,2
2509,5
2510,1
2511,2
2512,5
2513,2
2514,5
2515,5
2516,3
2517,3
2518,1
2519,4
2520,5
2521,3
2522,3
2523,1
2524,4
2525,2
2526,3
2527,6
2528,6
2529,2
2530,2
2531,3
2532,6
2533,6
2534,2
2535,3
2536,6
2537,4
2538,5
2539,5
2540,3
2541,6
2542,4
2543,5
2544,5
2545,3
2546,3
2547,6
2548,4
2549,1
2550,3
2551,3
2552,6
2553,4
2554,1
2555,1
2556,4
2557,2
2558,5
2559,3
2560,1
2561,4
2562,2
2563,5
2564,3
2565,3
2566,5
2567,5
2568,2
2569,1
2570,3
2571,5
2572,5
2573,2
2574,1
2575,1
2576,5
2577,1
2578,3
2579,1
2580,1
2581,5
2582,1
2583,3
2584,1
2585,2
2586,4
2587,5
2588,2
2589,3
2590,2
2591,4
2592,5
2593,2
2594,3
2595,4
2596,1
2597,5
2598,1
2599,1
2600,4
2601,1
2602,5
2603,1
2604,1
2605,3
2606,2
2607,1
2608,6
2609,1
2610,3
2611,2
2612,1
2613,6
2614,1
2615,1
2616,1
2617,4
2618,2
2619,1
2620,1
2621,1
2622,4
2623,2
2624,1
2625,1
2626,1
2627,5
2628,5
2629,2
2630,1
2631,1
2632,5
2633,5
2634,2
2635,1
2636,3
2637,4
2638,1
2639,6
2640,1
2641,3
2642,4
2643,1
2644,6
2645,4
2646,5
2647,1
2648,5
2649,2
2650,4
2651,5
2652,1
2653,5
2654,2
2655,2
2656,3
2657,5
2658,5
2659,4
2660,2
2661,3
2662,5
2663,5
2664,4
2665,1
2666,3
2667,3
2668,4
2669,6
2670,1
2671,3
2672,3
2673,4
2674,6
2675,4
2676,6
2677,1
2678,3
2679,3
2680,4
2681,6
2682,1
2683,3
2684,3
2685,2
2686,5
2687,1
2688,5
2689,3
2690,2
2691,5
2692,1
2693,5
2694,3
2695,3
2696,4
2697,4
2698,3
2699,4
2700,3
2701,4
2702,4
2703,3
2704,4
2705,1
2706,1
2707,5
2708,2
2709,5
2710,1
2711,1
2712,5
2713,2
2714,5
2715,3
2716,6
2717,5
2718,5
2719,5
2720,3
2721,6
2722,5
2723,5
2724,5
2725,4
2726,1
2727,1
2728,2
2729,3
2730,4
2731,1
2732,1
2733,2
2734,3
2735,3
2736,4
2737,6
2738,6
2739,1
2740,3
2741,4
2742,6
2743,6
2744,1
2745,3
2746,2
2747,1
2748,1
2749,5
2750,3
2751,2
2752,1
2753,1
2754,5
2755,3
2756,5
2757,3
2758,2
2759,6
2760,3
2761,5
2762,3
2763,2
2764,6
2765,1
2766,1
2767,1
2768,5
2769,2
2770,1
2771,1
2772,1
2773,5
2774,2
2775,2
2776,2
2777,5
2778,6
2779,4
2780,2
2781,2
2782,5
2783,6
2784,4
2785,3
2786,4
2787,3
2788,4
2789,4
2790,3
2791,4
2792,3
2793,4
2794,4
2795,3
2796,3
2797,4
2798,3
2799,4
2800,3
2801,3
2802,4
2803,3
2804,4
2805,4
2806,3
2807,2
2808,2
2809,6
2810,4
2811,3
2812,2
2813,2
2814,6
2815,6
2816,3
2817,5
2818,6
2819,2
2820,6
2821,3
2822,5
2823,6
2824,2
2825,2
2826,1
2827,2
2828,6
2829,6
2830,2
2831,1
2832,2
2833,6
2834,6
2835,2
2836,5
2837,4
2838,4
2839,3
2840,2
2841,5
2842,4
2843,4
2844,3
2845,2
2846,2
2847,2
2848,3
2849,1
2850,2
2851,2
2852,2
2853,3
2854,1
2855,1
2856,2
2857,1
2858,1
2859,2
2860,1
2861,2
2862,1
2863,1
2864,2
2865,3
2866,4
2867,6
2868,6
2869,6
2870,3
2871,4
2872,6
2873,6
2874,6
2875,2
2876,4
2877,3
2878,3
2879,1
2880,2
2881,4
2882,3
2883,3
2884,1
2885,2
2886,4
2887,5
2888,1
2889,2
2890,2
2891,4
2892,5
2893,1
2894,2
2895,4
2896,3
2897,5
2898,2
2899,1
2900,4
2901,3
2902,5
2903,2
2904,1
2905,2
2906,6
2907,1
2908,1
2909,5
2910,2
2911,6
2912,1
2913,1
2914,5
2915,6
2916,4
2917,5
2918,6
2919,2
2920,6
2921,4
2922,5
2923,6
2924,2
2925,2
2926,3
2927,1
2928,1
2929,5
2930,2
2931,3
2932,1
2933,1
2934,5
2935,1
2936,5
2937,4
2938,1
2939,1
2940,1
2941,5
2942,4
2943,1
2944,1
2945,1
2946,4
2947,1
2948,6
2949,2
2950,1
2951,4
2952,1
2953,6
2954,2
2955,3
2956,5
2957,1
2958,4
2959,3
2960,3
2961,5
2962,1
2963,4
2964,3
2965,2
2966,4
2967,4
2968,2
2969,5
2970,2
2971,4
2972,4
2973,2
2974,5
2975,6
2976,6
2977,5
2978,6
2979,3
2980,6
2981,6
2982,5
2983,6
2984,3
2985,5
2986,3
2987,6
2988,1
2989,6
2990,5
2991,3
2992,6
2993,1
2994,6
2995,3
2996,5
2997,2
